13.1719 	INFO 	Keyboard events cleared
13.1718 	EXP 	fixation: autoDraw = False
13.1718 	EXP 	grating: autoDraw = True
13.4715 	EXP 	grating: autoDraw = False
13.6720 	EXP 	Device response: <KeyPress from None: t=13.656764599960297, value=right, duration=None>
13.6737 	DATA 	Keypress: right
13.6880 	EXP 	fixation: autoDraw = False
13.6880 	EXP 	grating: autoDraw = False
13.6880 	EXP 	grating: ori = np.float64(-6.0)
13.6880 	EXP 	fixation: autoDraw = True
13.8550 	EXP 	Device response: <KeyPress from None: t=13.656764599960297, value=right, duration=0.1820644000545144>
14.1881 	INFO 	Keyboard events cleared
14.1880 	EXP 	fixation: autoDraw = False
14.1880 	EXP 	grating: autoDraw = True
14.4876 	EXP 	grating: autoDraw = False
14.5054 	EXP 	Device response: <KeyPress from None: t=14.504124199971557, value=left, duration=None>
14.5078 	DATA 	Keypress: left
14.5207 	EXP 	fixation: autoDraw = False
14.5207 	EXP 	grating: autoDraw = False
14.5207 	EXP 	grating: ori = np.float64(6.0)
14.5207 	EXP 	fixation: autoDraw = True
14.7211 	EXP 	Device response: <KeyPress from None: t=14.504124199971557, value=left, duration=0.20498020004015416>
15.0209 	INFO 	Keyboard events cleared
15.0207 	EXP 	fixation: autoDraw = False
15.0207 	EXP 	grating: autoDraw = True
15.3204 	EXP 	grating: autoDraw = False
15.3877 	EXP 	Device response: <KeyPress from None: t=15.385449800058268, value=left, duration=None>
15.3892 	DATA 	Keypress: left
15.4037 	EXP 	fixation: autoDraw = False
15.4037 	EXP 	grating: autoDraw = False
15.4037 	EXP 	grating: ori = np.float64(-6.5)
15.4037 	EXP 	fixation: autoDraw = True
15.4877 	EXP 	Device response: <KeyPress from None: t=15.47632719995454, value=right, duration=None>
15.4887 	DATA 	Keypress: right
15.5040 	EXP 	Device response: <KeyPress from None: t=15.385449800058268, value=left, duration=0.10698359995149076>
15.6872 	EXP 	Device response: <KeyPress from None: t=15.47632719995454, value=right, duration=0.19831460004206747>
15.9036 	INFO 	Keyboard events cleared
15.9035 	EXP 	fixation: autoDraw = False
15.9035 	EXP 	grating: autoDraw = True
16.2032 	EXP 	grating: autoDraw = False
16.3371 	EXP 	Device response: <KeyPress from None: t=16.334502700017765, value=left, duration=None>
16.3387 	DATA 	Keypress: left
16.3532 	EXP 	fixation: autoDraw = False
16.3532 	EXP 	grating: autoDraw = False
16.3532 	EXP 	grating: ori = np.float64(6.5)
16.3532 	EXP 	fixation: autoDraw = True
16.5198 	EXP 	Device response: <KeyPress from None: t=16.334502700017765, value=left, duration=0.18207610002718866>
16.8529 	INFO 	Keyboard events cleared
16.8528 	EXP 	fixation: autoDraw = False
16.8528 	EXP 	grating: autoDraw = True
